"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed"
"0600000US2502703740","Barre town, Worcester County, Massachusetts","344","208","0","17","74","90","63","80","56","92","0","17","0","17","0","17","88","124","16","27","47","43"
"0600000US2502705490","Berlin town, Worcester County, Massachusetts","206","80","17","13","22","24","62","54","21","14","32","41","7","10","5","10","0","12","31","24","9","14"
"0600000US2502706015","Blackstone town, Worcester County, Massachusetts","787","160","8","12","77","60","106","64","186","119","95","55","50","44","52","46","78","56","100","67","35","27"
"0600000US2502706365","Bolton town, Worcester County, Massachusetts","113","48","6","11","11","20","7","10","0","17","0","17","22","17","7","12","19","30","0","17","41","32"
"0600000US2502707525","Boylston town, Worcester County, Massachusetts","300","79","24","25","10","15","60","39","24","24","64","46","25","22","24","23","10","16","35","24","24","23"
"0600000US2502709105","Brookfield town, Worcester County, Massachusetts","185","63","0","12","63","57","56","46","18","21","12","15","7","12","0","12","7","11","0","12","22","26"
"0600000US2502712715","Charlton town, Worcester County, Massachusetts","1058","212","35","42","132","77","239","97","52","43","113","93","64","62","11","17","105","69","112","63","195","140"
"0600000US2502714395","Clinton town, Worcester County, Massachusetts","2615","267","18","18","215","88","474","124","363","138","621","198","202","92","136","81","125","72","399","102","62","42"
"0600000US2502717300","Douglas town, Worcester County, Massachusetts","620","168","69","72","45","42","196","136","26","38","0","17","14","23","28","33","82","88","48","75","112","111"
"0600000US2502717685","Dudley town, Worcester County, Massachusetts","1258","200","34","40","89","51","260","119","183","98","139","90","97","74","114","82","96","60","203","108","43","35"
"0600000US2502718560","East Brookfield town, Worcester County, Massachusetts","124","51","0","12","21","29","10","10","17","19","8","9","0","12","3","5","7","10","37","26","21","27"
"0600000US2502723875","Fitchburg city, Worcester County, Massachusetts","6955","420","236","91","549","192","884","229","765","232","932","218","707","169","536","188","385","117","1685","279","276","95"
"0600000US2502725485","Gardner city, Worcester County, Massachusetts","3946","319","192","117","350","120","510","147","428","137","579","176","490","172","221","98","306","138","676","153","194","105"
