,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Housing units with a mortgage:,Margin of Error!!Total:!!Housing units with a mortgage:,Estimate!!Total:!!Housing units with a mortgage:!!Less than 10.0 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!Less than 10.0 percent,Estimate!!Total:!!Housing units with a mortgage:!!10.0 to 14.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!10.0 to 14.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!15.0 to 19.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!15.0 to 19.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!20.0 to 24.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!20.0 to 24.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!25.0 to 29.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!25.0 to 29.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!30.0 to 34.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!30.0 to 34.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!35.0 to 39.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!35.0 to 39.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!40.0 to 49.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!40.0 to 49.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!50.0 percent or more,Margin of Error!!Total:!!Housing units with a mortgage:!!50.0 percent or more,Estimate!!Total:!!Housing units with a mortgage:!!Not computed,Margin of Error!!Total:!!Housing units with a mortgage:!!Not computed,Estimate!!Total:!!Housing units without a mortgage:,Margin of Error!!Total:!!Housing units without a mortgage:,Estimate!!Total:!!Housing units without a mortgage:!!Less than 10.0 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!Less than 10.0 percent,Estimate!!Total:!!Housing units without a mortgage:!!10.0 to 14.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!10.0 to 14.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!15.0 to 19.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!15.0 to 19.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!20.0 to 24.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!20.0 to 24.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!25.0 to 29.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!25.0 to 29.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!30.0 to 34.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!30.0 to 34.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!35.0 to 39.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!35.0 to 39.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!40.0 to 49.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!40.0 to 49.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!50.0 percent or more,Margin of Error!!Total:!!Housing units without a mortgage:!!50.0 percent or more,Estimate!!Total:!!Housing units without a mortgage:!!Not computed,Margin of Error!!Total:!!Housing units without a mortgage:!!Not computed,id
294,Chelsea,3439,332,2511,294,201,86,261,106,357,113,379,128,356,126,170,95,231,125,153,68,396,130,7,11,928,205,342,118,111,71,157,83,51,38,62,41,35,28,50,53,49,38,59,53,12,18,0600000US2502513205
295,Revere,9588,597,6234,532,292,104,625,184,825,217,837,195,763,180,614,154,265,95,709,229,1304,290,0,29,3354,358,839,183,588,144,676,180,244,94,182,85,128,54,197,86,153,54,347,96,0,29,0600000US2502556585
296,Winthrop,4378,279,2808,260,113,66,411,110,473,122,599,154,297,88,186,72,134,79,175,92,420,134,0,19,1570,209,450,154,228,79,257,99,185,63,39,32,28,33,70,52,29,23,240,98,44,52,0600000US2502581005
297,Ashburnham,1858,153,1526,163,201,105,201,101,293,111,181,82,253,136,146,87,58,54,90,81,103,81,0,17,332,105,72,57,79,52,13,22,60,48,0,17,0,17,0,17,76,68,32,40,0,17,0600000US2502701885
298,Athol,3340,228,2228,171,189,83,500,133,515,134,196,76,207,76,189,94,43,29,70,47,300,109,19,20,1112,165,268,93,226,75,173,59,95,38,127,69,17,19,19,22,41,33,112,58,34,45,0600000US2502702480
299,Auburn,5667,196,3644,167,227,76,723,119,797,146,482,98,448,116,267,89,221,97,160,55,306,91,13,17,2023,171,595,105,389,94,276,85,285,98,99,40,67,45,99,59,62,38,127,56,24,19,0600000US2502702760
300,Barre,1695,244,1187,209,120,81,105,83,288,114,163,109,177,109,57,54,60,57,32,36,169,104,16,27,508,167,218,121,147,79,76,57,17,27,15,24,0,17,0,17,17,27,18,28,0,17,0600000US2502703740
301,Berlin,973,73,602,76,48,22,79,30,85,39,109,45,43,28,87,46,12,10,22,17,117,57,0,12,371,74,104,41,107,44,41,23,54,28,27,20,18,17,3,6,0,12,17,15,0,12,0600000US2502705490
302,Blackstone,2739,182,2087,195,80,45,330,127,462,129,417,125,275,117,161,70,58,34,159,70,137,68,8,13,652,129,249,87,103,42,70,46,76,59,30,30,67,57,16,26,7,11,34,27,0,17,0600000US2502706015
303,Bolton,1626,74,1228,94,32,29,195,78,329,111,215,66,140,64,85,43,49,26,56,36,127,50,0,17,398,84,179,55,80,46,64,42,29,27,6,10,12,18,0,17,22,25,6,11,0,17,0600000US2502706365
304,Boylston,1499,105,1009,109,58,38,110,47,292,87,170,72,92,57,72,41,69,58,28,25,109,52,9,14,490,108,167,65,120,51,41,31,49,30,61,58,9,13,9,13,8,12,9,15,17,19,0600000US2502707525
305,Brookfield,1219,121,747,106,84,52,107,50,105,43,91,50,115,66,48,43,36,33,46,49,115,64,0,12,472,111,166,77,75,51,59,40,33,26,8,14,34,26,9,14,20,24,68,54,0,12,0600000US2502709105
306,Charlton,4006,208,3202,249,367,141,589,192,775,159,668,173,185,94,184,111,166,96,62,48,206,104,0,19,804,175,394,139,135,64,88,68,61,46,11,16,32,36,0,19,16,18,52,42,15,24,0600000US2502712715
307,Clinton,2979,263,2126,252,153,64,372,123,433,127,324,94,214,97,172,96,61,46,120,63,273,118,4,7,853,191,275,121,149,84,88,49,112,57,44,27,82,60,21,19,23,26,59,41,0,19,0600000US2502714395
308,Douglas,2614,247,1982,233,76,58,441,140,401,138,386,160,320,120,139,99,15,24,124,69,80,80,0,17,632,178,241,127,109,98,62,43,44,41,29,35,44,71,0,17,46,75,42,67,15,25,0600000US2502717300
309,Dudley,2647,204,1781,189,157,108,292,93,274,98,308,80,243,124,148,68,67,48,63,49,196,93,33,45,866,169,344,111,204,92,104,55,76,54,41,54,0,19,32,36,28,34,37,36,0,19,0600000US2502717685
310,East Brookfield,671,75,470,70,11,13,84,36,97,52,120,42,32,22,49,32,22,29,13,15,37,21,5,9,201,47,71,31,46,27,24,17,0,12,5,7,4,8,19,23,24,28,4,5,4,6,0600000US2502718560
311,Fitchburg,8010,424,5473,393,226,108,662,142,1124,208,1102,232,630,147,644,164,199,89,386,128,482,113,18,21,2537,300,583,137,553,169,340,132,264,97,134,66,193,122,88,77,104,68,262,95,16,18,0600000US2502723875
312,Gardner,4282,280,2734,228,214,111,335,98,519,147,591,125,362,108,157,88,98,63,131,60,316,117,11,17,1548,202,424,113,416,129,211,72,158,75,57,45,39,40,98,87,58,44,87,62,0,23,0600000US2502725485
313,Grafton,5384,226,4275,248,225,75,634,146,1144,208,720,188,617,149,270,97,166,72,173,79,326,89,0,19,1109,164,348,108,211,84,70,36,141,70,62,40,76,43,53,36,65,43,77,58,6,9,0600000US2502726430
314,Hardwick,823,101,501,75,52,22,68,29,156,66,78,39,20,17,58,41,16,16,6,8,47,27,0,12,322,88,100,37,70,32,81,50,18,30,28,37,0,12,13,13,7,9,5,8,0,12,0600000US2502728740
315,Harvard,1775,137,1194,129,98,58,260,94,270,98,207,70,208,74,25,23,18,20,21,26,87,45,0,17,581,111,172,67,161,56,50,35,12,20,42,58,37,30,11,17,64,63,32,38,0,17,0600000US2502728950
316,Holden,6264,228,4547,230,311,108,772,132,1303,159,735,137,476,118,298,101,135,58,156,74,336,87,25,39,1717,191,635,128,420,93,182,77,159,97,46,29,50,37,34,23,51,46,115,59,25,22,0600000US2502730560
317,Hopedale,1836,132,1040,146,13,21,208,93,236,92,320,116,98,81,108,76,22,35,0,17,35,40,0,17,796,145,295,113,106,70,74,64,79,63,18,28,39,47,8,15,156,96,21,34,0,17,0600000US2502730945
318,Hubbardston,1475,136,998,142,37,29,238,96,158,60,223,75,100,50,77,58,18,20,69,64,78,57,0,12,477,104,139,57,89,47,86,46,78,60,28,25,10,15,9,13,10,16,28,25,0,12,0600000US2502731435
319,Lancaster,1950,322,1363,247,0,17,216,102,323,122,186,103,82,55,152,76,131,113,225,116,48,46,0,17,587,179,192,113,158,80,35,37,93,65,29,33,0,17,16,25,29,35,35,29,0,17,0600000US2502734165
320,Leicester,3138,248,2145,232,102,84,277,102,682,161,226,90,259,109,205,112,41,29,99,63,254,123,0,19,993,206,534,156,154,95,94,57,48,40,49,39,10,15,28,34,15,22,61,44,0,19,0600000US2502734795
321,Leominster,9722,447,6665,410,307,126,1170,228,1100,174,1070,237,993,221,455,124,405,142,380,121,736,193,49,39,3057,345,780,152,650,167,421,168,122,57,395,145,215,130,104,67,152,77,189,101,29,33,0600000US2502735075
322,Lunenburg,3610,212,2492,242,150,85,443,164,673,167,494,115,265,99,204,103,76,52,86,51,101,59,0,19,1118,206,314,121,213,89,99,61,70,49,53,46,59,45,71,47,115,85,109,82,15,24,0600000US2502737420
323,Mendon,1838,121,1467,162,164,99,143,89,375,134,99,72,153,81,209,124,52,61,131,69,141,97,0,17,371,120,199,97,46,39,11,19,42,35,0,17,13,21,0,17,35,35,25,29,0,17,0600000US2502740255
324,Milford,7624,449,5688,454,275,108,773,173,1218,258,949,228,837,215,344,129,213,94,451,139,616,165,12,20,1936,248,618,192,326,106,232,78,210,93,112,72,94,54,50,41,34,39,244,137,16,19,0600000US2502741165
325,Millbury,3864,285,2667,250,225,94,392,158,736,200,398,149,265,126,218,91,164,95,95,65,154,73,20,26,1197,241,424,151,195,81,161,97,117,79,31,23,108,78,16,22,13,20,132,84,0,19,0600000US2502741340
326,Millville,962,91,703,83,19,16,61,30,137,57,215,67,66,38,74,37,19,22,46,27,66,28,0,12,259,61,86,35,28,20,36,20,37,28,16,15,0,12,0,12,9,10,47,37,0,12,0600000US2502741585
327,New Braintree,397,44,275,42,21,15,27,13,51,23,79,20,32,22,25,16,16,14,9,7,15,9,0,12,122,26,57,21,24,11,10,8,2,3,4,4,8,8,9,7,5,6,0,12,3,4,0600000US2502745105
328,Northborough,4365,229,3191,242,294,97,512,129,619,148,598,130,368,118,262,111,114,61,189,103,235,88,0,19,1174,210,593,149,168,81,122,70,67,43,29,27,28,31,29,26,47,42,85,55,6,10,0600000US2502746820
329,Northbridge,3921,272,2962,298,201,92,516,142,673,143,630,186,284,110,100,65,112,78,111,68,297,118,38,47,959,194,372,131,143,86,234,92,133,96,24,27,0,19,11,19,0,19,32,37,10,18,0600000US2502746925
330,North Brookfield,1346,141,905,131,24,25,164,58,170,64,272,87,93,47,58,41,6,10,76,50,42,30,0,12,441,107,212,79,91,43,29,23,27,23,8,13,0,12,8,12,32,41,29,31,5,8,0600000US2502747135
331,Oakham,654,48,429,50,16,12,72,22,70,24,98,28,42,18,25,13,35,24,13,8,58,22,0,12,225,42,97,24,54,23,28,17,3,5,13,16,4,6,0,12,0,12,18,11,8,7,0600000US2502750670
332,Oxford,3803,271,2928,300,67,52,635,167,571,158,545,148,280,124,277,161,103,74,116,75,334,109,0,19,875,220,274,140,143,110,43,47,72,78,58,55,67,50,45,41,65,55,85,57,23,36,0600000US2502751825
333,Paxton,1430,154,1010,132,88,53,201,70,227,88,127,61,140,59,64,39,64,52,13,16,86,50,0,12,420,87,118,40,101,48,103,57,15,17,32,41,19,21,0,12,15,16,17,19,0,12,0600000US2502752420
334,Petersham,406,47,233,35,14,11,60,22,39,23,26,14,16,10,31,17,9,7,20,13,18,9,0,12,173,36,61,22,26,11,15,9,16,10,6,8,4,5,6,6,9,14,28,22,2,4,0600000US2502753120
335,Phillipston,589,58,394,53,14,8,46,24,81,27,69,26,38,16,62,31,17,10,13,11,54,24,0,12,195,42,65,28,36,14,22,12,29,20,11,8,5,7,0,12,7,7,20,17,0,12,0600000US2502753225
336,Princeton,1215,61,820,75,83,54,210,67,165,65,108,43,112,58,50,34,17,18,22,24,53,36,0,12,395,85,171,64,58,36,27,25,37,30,27,26,7,12,0,12,0,12,68,51,0,12,0600000US2502755395
337,Royalston,465,61,295,52,24,18,66,25,29,17,49,24,27,16,34,19,21,14,24,19,21,15,0,12,170,52,92,41,24,15,23,15,3,5,3,5,0,12,11,18,7,7,4,7,3,6,0600000US2502758580
338,Rutland,2369,181,1913,195,71,71,354,115,396,112,416,146,306,132,97,69,71,60,130,106,72,53,0,17,456,137,158,88,122,73,61,67,61,42,42,44,0,17,12,18,0,17,0,17,0,17,0600000US2502758825
339,Shrewsbury,9967,357,6868,400,765,210,1259,215,1447,254,1191,251,1011,204,226,103,287,140,301,131,364,138,17,27,3099,324,1345,228,510,158,326,120,186,92,117,86,204,121,63,51,158,105,163,83,27,32,0600000US2502761800
340,Southborough,3187,144,2244,173,191,70,342,96,487,110,289,92,255,83,117,83,135,61,196,65,232,91,0,19,943,145,440,97,91,42,113,60,75,38,50,32,41,25,9,15,41,40,83,43,0,19,0600000US2502763165
341,Southbridge,3012,198,2085,205,95,51,247,76,321,106,444,126,216,81,147,65,195,91,213,79,207,68,0,19,927,148,247,75,211,72,156,72,48,33,72,45,28,23,6,11,42,34,106,58,11,16,0600000US2502763345
342,Spencer,3447,232,2468,227,116,73,310,108,508,165,489,171,383,115,132,75,146,95,109,71,275,146,0,19,979,193,358,130,229,115,114,68,83,78,20,32,91,92,43,52,41,48,0,19,0,19,0600000US2502766105
343,Sterling,2512,200,1784,212,228,121,435,153,383,153,327,101,89,55,80,58,15,24,30,33,197,125,0,17,728,165,270,95,85,76,133,68,93,81,75,68,14,21,16,26,0,17,42,41,0,17,0600000US2502767385
344,Sturbridge,2942,278,2177,248,101,63,269,117,387,124,425,159,220,77,215,99,123,104,116,59,315,139,6,8,765,226,115,65,189,77,129,65,16,17,91,101,41,40,0,17,56,44,112,125,16,25,0600000US2502768155
345,Sutton,3087,252,2040,227,97,71,453,114,281,107,287,101,272,119,143,82,55,42,176,112,264,139,12,19,1047,182,417,130,182,72,116,68,124,82,75,52,18,28,20,22,31,29,53,73,11,17,0600000US2502768610
346,Templeton,2731,223,1890,245,169,120,494,173,292,127,319,143,210,115,56,56,72,76,83,58,195,125,0,17,841,194,292,134,176,99,110,64,82,62,0,17,53,85,19,31,10,17,99,95,0,17,0600000US2502769275
347,Upton,2317,212,1706,193,104,82,338,124,381,139,279,108,145,83,181,100,106,67,27,40,124,80,21,33,611,175,247,121,91,60,103,87,52,36,44,43,32,37,0,17,31,33,11,19,0,17,0600000US2502771480
348,Uxbridge,4038,286,2923,239,132,70,471,153,836,233,505,154,322,142,220,116,122,69,68,71,247,109,0,19,1115,204,387,133,134,89,165,97,132,73,58,44,24,28,101,70,12,20,102,73,0,19,0600000US2502771620
349,Warren,1446,170,1016,187,72,68,187,95,226,117,78,76,156,99,24,37,41,63,82,78,150,102,0,17,430,162,100,81,34,51,15,24,128,120,44,51,56,56,0,17,0,17,53,60,0,17,0600000US2502773090
350,Webster,3795,258,2604,230,158,78,295,106,355,121,483,147,454,173,248,153,204,122,94,53,292,119,21,25,1191,185,376,107,350,115,141,62,61,45,62,39,36,35,29,28,31,22,84,49,21,23,0600000US2502773895
351,Westborough,4450,226,3180,212,226,87,673,145,785,142,563,135,292,81,223,79,100,49,128,63,166,72,24,28,1270,160,446,107,242,84,208,77,82,43,44,32,63,45,8,12,7,10,161,78,9,14,0600000US2502775015
352,West Boylston,1932,304,1208,221,158,67,173,70,296,109,162,65,138,66,83,48,21,19,41,32,136,61,0,17,724,156,192,52,149,64,100,46,65,40,70,42,16,18,34,41,7,12,86,41,5,9,0600000US2502775155
353,West Brookfield,1018,144,630,130,33,29,104,62,134,73,161,65,30,27,58,42,28,27,38,48,35,33,9,15,388,100,130,60,84,46,36,27,30,27,61,54,10,16,10,15,16,20,11,17,0,12,0600000US2502775400
354,Westminster,2609,197,1822,248,154,105,294,124,560,165,193,122,152,91,223,114,13,23,88,99,145,82,0,17,787,188,246,101,216,116,64,51,119,76,0,17,29,31,65,95,0,17,48,45,0,17,0600000US2502777010
355,Winchendon,2713,265,2123,264,137,99,519,190,441,155,261,114,214,88,172,107,104,52,58,62,217,142,0,19,590,187,207,101,41,30,160,105,19,16,44,66,33,36,30,36,0,19,56,57,0,19,0600000US2502780405
356,Worcester,29553,853,19992,756,1185,239,2905,335,3716,426,3052,342,2646,322,1270,207,1000,232,1408,257,2596,390,214,105,9561,596,3171,396,1693,242,1050,163,640,134,568,142,528,157,319,120,446,153,1004,210,142,82,0600000US2502782000
