,city,population
264,"County subdivisions not defined, Plymouth County, Massachusetts",0
265,Abington,17062
266,Bridgewater,28633
267,Brockton,105643
268,Carver,11645
269,Duxbury,16090
270,East Bridgewater,14440
271,Halifax,7749
272,Hanover,14833
273,Hanson,10639
274,Hingham,24284
275,Hull,10072
276,Kingston,13708
277,Lakeville,11523
278,Marion,5347
279,Marshfield,25825
280,Mattapoisett,6508
281,Middleborough,24245
282,Norwell,11351
283,Pembroke,18361
284,Plymouth,61217
285,Plympton,2930
286,Rochester,5717
287,Rockland,17803
288,Scituate,19063
289,Wareham,23303
290,West Bridgewater,7707
291,Whitman,15121
292,"County subdivisions not defined, Suffolk County, Massachusetts",0
293,Boston,675647
294,Chelsea,40787
295,Revere,62186
296,Winthrop,19316
297,Ashburnham,6315
298,Athol,11945
299,Auburn,16889
300,Barre,5530
301,Berlin,3158
302,Blackstone,9208
303,Bolton,5665
304,Boylston,4849
305,Brookfield,3439
306,Charlton,13315
307,Clinton,15428
308,Douglas,8983
309,Dudley,11921
310,East Brookfield,2224
311,Fitchburg,41946
312,Gardner,21287
313,Grafton,19664
314,Hardwick,2667
315,Harvard,6851
316,Holden,19905
317,Hopedale,6017
318,Hubbardston,4328
319,Lancaster,8441
320,Leicester,11087
321,Leominster,43782
322,Lunenburg,11782
323,Mendon,6228
324,Milford,30379
325,Millbury,13831
326,Millville,3174
327,New Braintree,996
328,Northborough,15741
329,Northbridge,16335
330,North Brookfield,4735
331,Oakham,1851
332,Oxford,13347
333,Paxton,5004
334,Petersham,1194
335,Phillipston,1726
336,Princeton,3495
337,Royalston,1250
338,Rutland,9049
339,Shrewsbury,38325
340,Southborough,10450
341,Southbridge,17740
342,Spencer,11992
343,Sterling,7985
344,Sturbridge,9867
345,Sutton,9357
346,Templeton,8149
347,Upton,8000
348,Uxbridge,14162
349,Warren,4975
350,Webster,17776
351,Westborough,21567
352,West Boylston,7877
353,West Brookfield,3833
354,Westminster,8213
355,Winchendon,10364
356,Worcester,206518
