,year,total,number_burdened,pct_burdened
0,2010,21633,10959,0.5065871585078352
0,2011,21673,10965,0.5059290361279011
0,2012,22149,10885,0.4914443089981489
0,2013,22357,11143,0.49841213042894844
0,2014,22472,11131,0.49532751868992525
0,2015,22695,10897,0.4801498127340824
0,2016,22903,11031,0.4816399598305899
0,2017,23301,11004,0.4722544096819879
0,2018,23326,10291,0.44118151419017404
0,2019,23262,9930,0.42687645086407017
0,2020,23523,10237,0.43519108957190833
